id,scheduled,duration_TM,waitingTime_TM,timeLoss_TM,routeLength_TM,departDelay_TM,rerouteNo_TM,duration_RL,waitingTime_RL,timeLoss_RL,routeLength_RL,departDelay_RL,rerouteNo_RL
veh7387,2451.0,1755.0,1400.0,1619.05,1763.91,210.0,21.0,1913.0,1444.0,1732.11,2356.77,269.0,21.0
veh7388,2451.0,759.0,496.0,606.53,1761.29,707.0,8.0,1200.0,924.0,1095.55,1203.27,177.0,7.0
veh739,245.0,385.0,195.0,260.17,1467.3,0.0,2.0,204.0,50.0,76.01,1528.67,0.0,1.0
veh7390,2452.0,705.0,495.0,614.87,1231.69,1005.0,2.0,222.0,91.0,130.21,1256.22,907.0,3.0
veh7391,2452.0,1707.0,1128.0,1454.54,3475.39,0.0,17.0,908.0,549.0,695.4,2936.21,0.0,8.0
veh7392,2452.0,2278.0,1702.0,2014.66,3612.75,715.0,17.0,1020.0,802.0,908.71,1529.74,179.0,4.0
veh7393,2453.0,44.0,3.0,12.05,436.2,0.0,1.0,56.0,14.0,24.48,436.2,0.0,1.0
veh7394,2453.0,551.0,402.0,477.86,954.0,0.0,2.0,284.0,179.0,211.19,954.0,0.0,1.0
veh7395,2453.0,1639.0,1313.0,1547.33,1258.28,210.0,16.0,1578.0,1218.0,1486.64,1258.28,270.0,15.0
veh7396,2454.0,484.0,331.0,395.04,1208.54,3.0,3.0,405.0,257.0,315.59,1208.54,0.0,1.0
veh7397,2454.0,736.0,458.0,580.74,2017.76,12.0,3.0,469.0,270.0,354.16,1492.42,17.0,1.0
veh7398,2454.0,1053.0,791.0,922.73,1797.34,987.0,10.0,867.0,626.0,775.95,1255.85,545.0,5.0
veh7399,2455.0,242.0,137.0,170.24,965.12,3.0,1.0,243.0,140.0,171.68,965.12,0.0,1.0
veh74,24.0,131.0,65.0,77.88,693.08,0.0,1.0,133.0,68.0,79.92,693.08,0.0,1.0
veh740,245.0,254.0,74.0,120.32,1816.81,0.0,2.0,474.0,206.0,301.55,2299.13,0.0,2.0
veh7400,2455.0,213.0,120.0,143.56,935.48,1.0,1.0,133.0,47.0,63.2,951.61,0.0,1.0
veh7401,2455.0,1623.0,1327.0,1527.35,1222.66,210.0,16.0,1450.0,1126.0,1354.91,1222.66,280.0,18.0
veh7402,2456.0,1442.0,1111.0,1318.64,1562.54,659.0,14.0,1484.0,1143.0,1270.27,1500.89,1957.0,17.0
veh7403,2456.0,1030.0,649.0,799.98,2921.61,94.0,8.0,831.0,510.0,642.85,2406.77,351.0,9.0
veh7404,2456.0,2166.0,1779.0,2056.09,1512.42,664.0,17.0,2122.0,1714.0,2011.42,1518.91,1968.0,23.0
veh7406,2457.0,548.0,328.0,397.47,2064.11,0.0,3.0,393.0,189.0,240.53,2090.04,0.0,1.0
veh7407,2457.0,564.0,346.0,452.45,1535.49,51.0,3.0,475.0,293.0,364.23,1516.94,34.0,1.0
veh7408,2458.0,308.0,168.0,219.37,1194.98,0.0,1.0,235.0,110.0,146.59,1194.98,0.0,1.0
veh7409,2458.0,668.0,293.0,411.48,3131.27,0.0,6.0,648.0,358.0,432.6,2633.77,16.0,2.0
veh741,245.0,561.0,312.0,410.69,2038.96,2.0,3.0,1184.0,738.0,950.5,3209.09,1.0,10.0
veh7410,2458.0,765.0,476.0,615.9,2051.35,1067.0,3.0,535.0,264.0,386.66,2048.0,1.0,5.0
veh7411,2459.0,658.0,442.0,568.45,1217.0,1002.0,3.0,449.0,338.0,398.41,693.16,930.0,1.0
veh7412,2459.0,1796.0,1452.0,1708.16,1197.53,209.0,18.0,1511.0,1162.0,1379.36,1809.14,279.0,16.0
veh7413,2459.0,458.0,280.0,387.15,973.08,11.0,1.0,374.0,221.0,302.79,973.08,28.0,1.0
veh7414,2460.0,785.0,599.0,707.81,950.58,64.0,1.0,278.0,138.0,200.73,940.28,7.0,2.0
veh7415,2460.0,352.0,206.0,262.66,1232.1,0.0,1.0,215.0,73.0,124.66,1235.78,6.0,2.0
veh7416,2460.0,433.0,250.0,321.34,1537.09,5.0,2.0,280.0,122.0,167.82,1537.09,10.0,1.0
veh7417,2461.0,1013.0,695.0,847.12,2248.06,0.0,6.0,130.0,16.0,37.9,1280.14,0.0,1.0
veh7418,2461.0,641.0,333.0,501.65,1846.76,5.0,4.0,280.0,115.0,140.68,1846.76,0.0,2.0
veh7419,2461.0,166.0,91.0,113.76,717.8,7.0,1.0,168.0,96.0,115.65,717.8,0.0,1.0
veh742,246.0,257.0,136.0,186.73,960.55,4.0,1.0,648.0,470.0,576.61,960.55,0.0,3.0
veh7420,2462.0,3823.0,2859.0,3449.19,4677.89,0.0,50.0,3945.0,3055.0,3569.67,4766.4,48.0,52.0
veh7421,2462.0,1928.0,1716.0,1831.31,1476.42,0.0,12.0,1955.0,1620.0,1767.09,2533.17,0.0,14.0
veh7422,2462.0,562.0,391.0,483.45,960.23,0.0,1.0,431.0,258.0,305.77,1561.47,0.0,2.0
veh7423,2463.0,737.0,467.0,605.97,1724.93,3.0,3.0,545.0,373.0,454.49,1182.82,0.0,1.0
veh7424,2463.0,915.0,490.0,667.78,3368.08,0.0,5.0,517.0,282.0,386.43,1780.28,0.0,1.0
veh7425,2463.0,608.0,367.0,457.84,1788.7,0.0,4.0,517.0,286.0,366.62,1788.7,0.0,2.0
veh7426,2464.0,1801.0,1239.0,1606.05,2613.06,2106.0,13.0,1863.0,1373.0,1668.24,2613.06,676.0,22.0
veh7427,2464.0,191.0,105.0,138.95,696.28,64.0,1.0,245.0,125.0,193.43,696.28,6.0,1.0
veh7428,2464.0,155.0,97.0,123.13,438.62,0.0,1.0,61.0,15.0,28.61,438.62,0.0,1.0
veh7429,2465.0,1844.0,1186.0,1562.28,3798.11,0.0,13.0,299.0,124.0,170.27,1751.07,0.0,1.0
veh743,246.0,607.0,400.0,497.03,1499.36,18.0,3.0,356.0,194.0,245.38,1499.36,5.0,1.0
veh7430,2465.0,648.0,485.0,575.3,999.81,277.0,3.0,177.0,77.0,107.05,938.68,69.0,1.0
veh7431,2465.0,610.0,431.0,534.39,974.27,1159.0,2.0,400.0,243.0,326.62,932.36,2.0,1.0
veh7432,2466.0,295.0,185.0,256.21,440.56,172.0,1.0,531.0,451.0,492.13,440.56,480.0,3.0
veh7433,2466.0,2203.0,1779.0,2078.28,1537.88,657.0,16.0,2152.0,1749.0,2027.26,1544.37,1959.0,27.0
veh7434,2466.0,1118.0,711.0,903.61,2599.85,0.0,8.0,4144.0,3614.0,3793.09,2555.31,15.0,17.0
veh7435,2467.0,337.0,195.0,267.11,952.17,112.0,1.0,346.0,211.0,275.4,973.48,45.0,1.0
