time,tls,d0,d1,d2,d3
810,C5,57,11,11,11
810,D0,24,22,22,22
810,D1,19,19,33,19
810,D2,48,14,14,14
810,D3,24,22,22,22
810,D4,24,22,22,22
810,D5,12,12,54,12
810,E0,24,22,22,22
810,E1,24,22,22,22
810,E2,24,22,22,22
810,E3,60,10,10,10
810,E4,11,11,57,11
810,E5,10,10,60,10
810,F0,24,22,22,22
810,F1,24,22,22,22
810,F2,60,10,10,10
810,F3,60,10,10,10
810,F4,24,22,22,22
810,F5,10,60,10,10
900,A0,54,12,12,12
900,A1,24,22,22,22
900,A2,11,11,57,11
900,A4,60,10,10,10
900,A5,24,22,22,22
900,B0,24,22,22,22
900,B1,18,36,18,18
900,B2,24,22,22,22
900,B4,24,22,22,22
900,B5,60,10,10,10
900,C0,21,21,27,21
900,C1,24,22,22,22
900,C2,56,14,10,10
900,C3,60,10,10,10
900,C4,57,11,11,11
900,C5,57,11,11,11
900,D0,24,22,22,22
900,D1,19,19,33,19
900,D2,45,15,15,15
900,D3,24,22,22,22
900,D4,24,22,22,22
900,D5,13,13,51,13
900,E0,24,22,22,22
900,E1,24,22,22,22
900,E2,24,22,22,22
900,E3,60,10,10,10
900,E4,11,11,57,11
900,E5,10,10,60,10
900,F0,24,22,22,22
900,F1,24,22,22,22
900,F2,60,10,10,10
900,F3,60,10,10,10
900,F4,24,22,22,22
900,F5,10,60,10,10
990,A0,54,12,12,12
990,A1,24,22,22,22
990,A2,11,11,57,11
990,A4,60,10,10,10
990,A5,27,21,21,21
990,B0,24,22,22,22
990,B1,19,33,19,19
990,B2,24,22,22,22
990,B4,24,22,22,22
990,B5,60,10,10,10
990,C0,19,19,33,19
990,C1,24,22,22,22
990,C2,57,13,10,10
990,C3,60,10,10,10
990,C4,57,11,11,11
990,C5,57,11,11,11
990,D0,24,22,22,22
990,D1,19,19,33,19
990,D2,45,15,15,15
990,D3,24,22,22,22
990,D4,24,22,22,22
990,D5,12,12,54,12
990,E0,24,22,22,22
990,E1,24,22,22,22
990,E2,24,22,22,22
990,E3,60,10,10,10
990,E4,11,11,57,11
990,E5,10,10,60,10
990,F0,24,22,22,22
