checkpoint, Throughput, Average duration
rl_traffic_model_1593344_steps.zip, 8325.00, 633.40
rl_traffic_model_1597440_steps.zip, 8352.00, 636.10
rl_traffic_model_1601536_steps.zip, 8278.00, 631.90
rl_traffic_model_1605632_steps.zip, 8328.00, 630.00
rl_traffic_model_1609728_steps.zip, 8472.00, 626.70
rl_traffic_model_1613824_steps.zip, 8401.00, 616.60
rl_traffic_model_1617920_steps.zip, 8471.00, 594.00
rl_traffic_model_1622016_steps.zip, 7900.00, 716.40
rl_traffic_model_1626112_steps.zip, 8425.00, 625.20
rl_traffic_model_1630208_steps.zip, 8463.00, 628.10
rl_traffic_model_1634304_steps.zip, 7867.00, 708.10
rl_traffic_model_1638400_steps.zip, 8325.00, 632.40
rl_traffic_model_1642496_steps.zip, 8277.00, 649.50
rl_traffic_model_1646592_steps.zip, 8244.00, 648.00
rl_traffic_model_1650688_steps.zip, 8461.00, 642.00
rl_traffic_model_1654784_steps.zip, 8347.00, 610.20
rl_traffic_model_1658880_steps.zip, 8419.00, 643.90
rl_traffic_model_1662976_steps.zip, 8137.00, 664.20
rl_traffic_model_1667072_steps.zip, 8366.00, 659.80
rl_traffic_model_1671168_steps.zip, 8442.00, 611.10
rl_traffic_model_1675264_steps.zip, 8382.00, 643.40
rl_traffic_model_1679360_steps.zip, 8591.00, 612.80
rl_traffic_model_1683456_steps.zip, 8185.00, 683.60
rl_traffic_model_1687552_steps.zip, 8452.00, 612.40
rl_traffic_model_1691648_steps.zip, 8474.00, 625.60
rl_traffic_model_1695744_steps.zip, 8424.00, 639.40
rl_traffic_model_1699840_steps.zip, 8555.00, 598.40
rl_traffic_model_1703936_steps.zip, 8524.00, 586.60
rl_traffic_model_1708032_steps.zip, 8428.00, 624.80
rl_traffic_model_1712128_steps.zip, 8530.00, 600.00
rl_traffic_model_1716224_steps.zip, 8158.00, 708.00
rl_traffic_model_1720320_steps.zip, 8519.00, 620.40
rl_traffic_model_1724416_steps.zip, 8628.00, 595.30
rl_traffic_model_1728512_steps.zip, 8520.00, 614.60
rl_traffic_model_1732608_steps.zip, 8372.00, 639.20
rl_traffic_model_1736704_steps.zip, 8271.00, 669.90
rl_traffic_model_1740800_steps.zip, 8271.00, 669.90
rl_traffic_model_1744896_steps.zip, 8486.00, 618.80
rl_traffic_model_1748992_steps.zip, 8486.00, 638.90
rl_traffic_model_1753088_steps.zip, 8514.00, 628.60
rl_traffic_model_1757184_steps.zip, 8352.00, 638.90
rl_traffic_model_1761280_steps.zip, 8652.00, 613.00
rl_traffic_model_1765376_steps.zip, 8362.00, 628.40
rl_traffic_model_1769472_steps.zip, 8350.00, 627.80
rl_traffic_model_1773568_steps.zip, 8380.00, 617.90
rl_traffic_model_1777664_steps.zip, 8423.00, 625.60
rl_traffic_model_1781760_steps.zip, 8474.00, 616.00
rl_traffic_model_1785856_steps.zip, 8627.00, 593.00
rl_traffic_model_1789952_steps.zip, 8381.00, 642.60
rl_traffic_model_1794048_steps.zip, 8473.00, 606.70
rl_traffic_model_1798144_steps.zip, 8441.00, 595.90
rl_traffic_model_1802240_steps.zip, 8638.00, 591.90
rl_traffic_model_1806336_steps.zip, 8555.00, 594.30
rl_traffic_model_1810432_steps.zip, 8532.00, 591.90
rl_traffic_model_1814528_steps.zip, 8529.00, 623.20
rl_traffic_model_1818624_steps.zip, 8162.00, 650.50
rl_traffic_model_1822720_steps.zip, 8627.00, 609.60
rl_traffic_model_1826816_steps.zip, 8597.00, 601.60
rl_traffic_model_1830912_steps.zip, 8404.00, 628.40
rl_traffic_model_1835008_steps.zip, 8389.00, 638.90
rl_traffic_model_1839104_steps.zip, 8542.00, 615.90
rl_traffic_model_1843200_steps.zip, 8550.00, 603.70
rl_traffic_model_1847296_steps.zip, 8278.00, 670.90
rl_traffic_model_1851392_steps.zip, 8260.00, 639.80
rl_traffic_model_1855488_steps.zip, 8364.00, 628.50
rl_traffic_model_1859584_steps.zip, 8466.00, 637.10
rl_traffic_model_1863680_steps.zip, 8451.00, 626.80
rl_traffic_model_1867776_steps.zip, 8507.00, 604.40
rl_traffic_model_1871872_steps.zip, 8479.00, 600.50
rl_traffic_model_1875968_steps.zip, 8531.00, 604.20
rl_traffic_model_1880064_steps.zip, 8370.00, 616.90
rl_traffic_model_1884160_steps.zip, 8385.00, 637.60
rl_traffic_model_1888256_steps.zip, 8476.00, 630.80
rl_traffic_model_1892352_steps.zip, 8476.00, 630.80
rl_traffic_model_1896448_steps.zip, 8466.00, 638.50
rl_traffic_model_1900544_steps.zip, 8463.00, 601.60
rl_traffic_model_1904640_steps.zip, 8537.00, 619.10
rl_traffic_model_1908736_steps.zip, 8472.00, 606.00
rl_traffic_model_1912832_steps.zip, 8496.00, 582.10
rl_traffic_model_1916928_steps.zip, 8455.00, 610.00
rl_traffic_model_1921024_steps.zip, 8410.00, 628.30
rl_traffic_model_1925120_steps.zip, 8608.00, 595.60
rl_traffic_model_1929216_steps.zip, 8501.00, 618.30
rl_traffic_model_1933312_steps.zip, 8199.00, 669.80
rl_traffic_model_1937408_steps.zip, 8296.00, 636.10
rl_traffic_model_1941504_steps.zip, 8337.00, 664.30
rl_traffic_model_1945600_steps.zip, 8660.00, 577.50
rl_traffic_model_1949696_steps.zip, 8141.00, 686.10
rl_traffic_model_1953792_steps.zip, 8304.00, 632.90
rl_traffic_model_1957888_steps.zip, 8443.00, 629.10
rl_traffic_model_1961984_steps.zip, 8570.00, 593.20
rl_traffic_model_1966080_steps.zip, 8497.00, 614.40
rl_traffic_model_1970176_steps.zip, 8270.00, 657.80
rl_traffic_model_1974272_steps.zip, 8391.00, 618.50
rl_traffic_model_1978368_steps.zip, 8425.00, 609.50
rl_traffic_model_1982464_steps.zip, 8473.00, 608.60
rl_traffic_model_1986560_steps.zip, 8610.00, 585.40
rl_traffic_model_1990656_steps.zip, 8444.00, 632.50
rl_traffic_model_1994752_steps.zip, 8444.00, 614.30
rl_traffic_model_1998848_steps.zip, 8555.00, 601.80
rl_traffic_model_2002944_steps.zip, 8384.00, 625.50
rl_traffic_model_2007040_steps.zip, 8594.00, 589.90
rl_traffic_model_2011136_steps.zip, 8418.00, 602.00
rl_traffic_model_2015232_steps.zip, 8232.00, 653.40
rl_traffic_model_2019328_steps.zip, 8254.00, 645.30
rl_traffic_model_2023424_steps.zip, 8414.00, 611.30
rl_traffic_model_2027520_steps.zip, 8524.00, 614.90
rl_traffic_model_2031616_steps.zip, 8561.00, 609.70
rl_traffic_model_2035712_steps.zip, 8561.00, 609.70
rl_traffic_model_2039808_steps.zip, 8567.00, 597.00
rl_traffic_model_2043904_steps.zip, 8388.00, 656.30
rl_traffic_model_2048000_steps.zip, 8434.00, 608.10
rl_traffic_model_2052096_steps.zip, 8478.00, 605.00
rl_traffic_model_2056192_steps.zip, 8563.00, 605.60
rl_traffic_model_2060288_steps.zip, 8432.00, 607.90
rl_traffic_model_2064384_steps.zip, 8506.00, 611.80
rl_traffic_model_2068480_steps.zip, 8398.00, 625.70
